Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,BLR,4491893.0,4523844.0,4560138.0,4599233.0,4639591.0,4679665.0,4720561.0,4763309.0,4806181.0,4847413.0,4885284.0,4920806.0,4955051.0,4986491.0,5013630.0,5034965.0,5053431.0,5076217.0,5104507.0,5131463.0,5158781.0,5190869.0,5222861.0,5255522.0,5287895.0,5318644.0,5350246.0,5381279.0,5391599.0,5403330.0,5410634.0,5412234.0,5424337.0,5437767.0,5432387.0,5414946.0,5395716.0,5370807.0,5343153.0,5319622.0,5295397.0,5271220.0,5242444.0,5211727.0,5182423.0,5152853.0,5126551.0,5107758.0,5094092.0,5085742.0,5078980.0,5070291.0,5065091.0,5064597.0,5067708.0,5074666.0,5080386.0,5078365.0,5071515.0
Belize,BLZ,46603.0,47906.0,49226.0,50596.0,52041.0,53549.0,55148.0,56808.0,58480.0,60061.0,61499.0,62789.0,63940.0,64977.0,65922.0,66797.0,67589.0,68326.0,69112.0,70119.0,71425.0,73080.0,75046.0,77243.0,79544.0,81845.0,84151.0,86488.0,88791.0,90964.0,92981.0,94767.0,96371.0,98041.0,100080.0,102721.0,106058.0,109994.0,114296.0,118644.0,122796.0,126674.0,130345.0,133898.0,137484.0,141208.0,145074.0,149043.0,153075.0,157129.0,161167.0,165185.0,169188.0,173160.0,177103.0,181006.0,184865.0,188681.0,192464.0
Bolivia,BOL,1845395.0,1880803.0,1917167.0,1954573.0,1993129.0,2032928.0,2073967.0,2116236.0,2159829.0,2204839.0,2251348.0,2299333.0,2348751.0,2399602.0,2451865.0,2505493.0,2560573.0,2617034.0,2674429.0,2732207.0,2789988.0,2847576.0,2905207.0,2963451.0,3023133.0,3084855.0,3148768.0,3214727.0,3282624.0,3352273.0,3423491.0,3496270.0,3570588.0,3646223.0,3722910.0,3800420.0,3878635.0,3957502.0,4036940.0,4116896.0,4197317.0,4278135.0,4359267.0,4440653.0,4522181.0,4603784.0,4685380.0,4766969.0,4848635.0,4930543.0,5012796.0,5095433.0,5178343.0,5261321.0,5344077.0,5426393.0,5508163.0,5589445.0,5670378.0
Brazil,BRA,36241254.0,37301539.0,38398118.0,39523632.0,40667649.0,41822244.0,42986009.0,44160093.0,45342334.0,46530889.0,47725098.0,48922999.0,50126351.0,51342958.0,52583464.0,53855658.0,55160065.0,56494358.0,57859476.0,59255803.0,60682030.0,62139333.0,63623271.0,65119777.0,66610362.0,68081255.0,69526802.0,70948670.0,72349569.0,73735334.0,75110474.0,76472995.0,77821012.0,79159368.0,80494544.0,81830371.0,83168454.0,84505016.0,85831771.0,87137308.0,88412828.0,89656296.0,90868377.0,92046413.0,93188060.0,94292264.0,95357237.0,96384518.0,97380778.0,98355252.0,99314971.0,100261154.0,101192890.0,102112340.0,103021468.0,103920949.0,104812341.0,105693605.0,106557163.0
Barbados,BRB,127500.0,127690.0,127696.0,127562.0,127361.0,127149.0,126951.0,126767.0,126635.0,126581.0,126623.0,126759.0,126996.0,127356.0,127848.0,128475.0,129261.0,130170.0,131117.0,131969.0,132650.0,133120.0,133397.0,133553.0,133676.0,133840.0,134057.0,134315.0,134618.0,134960.0,135346.0,135787.0,136285.0,136819.0,137389.0,137984.0,138595.0,139228.0,139862.0,140483.0,141076.0,141612.0,142120.0,142612.0,143129.0,143681.0,144291.0,144932.0,145588.0,146199.0,146754.0,147226.0,147638.0,147984.0,148309.0,148616.0,148914.0,149193.0,149464.0
Brunei Darussalam,BRN,39542.0,41417.0,43321.0,45289.0,47359.0,49575.0,51935.0,54426.0,57048.0,59827.0,62731.0,65800.0,69010.0,72248.0,75379.0,78306.0,80979.0,83440.0,85807.0,88220.0,90794.0,93574.0,96532.0,99619.0,102757.0,105900.0,109054.0,112228.0,115468.0,118808.0,122288.0,125880.0,129584.0,133437.0,137497.0,141787.0,146343.0,151091.0,155844.0,160360.0,164452.0,168061.0,171237.0,174013.0,176488.0,178738.0,180722.0,182484.0,184163.0,185952.0,187990.0,190332.0,192954.0,195742.0,198516.0,201166.0,203652.0,206014.0,208264.0
Bhutan,BTN,109475.0,112251.0,115100.0,118083.0,121326.0,124875.0,128778.0,133002.0,137450.0,141992.0,146532.0,151039.0,155538.0,160090.0,164768.0,169647.0,174741.0,180024.0,185448.0,190952.0,196477.0,201927.0,207300.0,212795.0,218674.0,225078.0,232227.0,239922.0,247414.0,253680.0,258048.0,260113.0,260288.0,259620.0,259605.0,261304.0,265106.0,270612.0,277127.0,283622.0,289321.0,294079.0,298155.0,301681.0,304903.0,308001.0,310953.0,313712.0,316404.0,319196.0,322222.0,325520.0,329091.0,332894.0,336901.0,341059.0,345390.0,349867.0,354421.0
Botswana,BWA,263074.0,268786.0,274966.0,281437.0,287929.0,294262.0,300394.0,306470.0,312817.0,319853.0,327879.0,336986.0,347121.0,358276.0,370413.0,383470.0,397530.0,412570.0,428318.0,444403.0,460584.0,476643.0,492672.0,509115.0,526610.0,545552.0,566131.0,588041.0,610575.0,632732.0,653823.0,673568.0,692149.0,709911.0,727425.0,745086.0,763042.0,781124.0,799083.0,816532.0,833234.0,849004.0,864018.0,878879.0,894379.0,911071.0,929365.0,948988.0,968937.0,987795.0,1004641.0,1018968.0,1031336.0,1043179.0,1056525.0,1072797.0,1092523.0,1115137.0,1139592.0
Central African Republic,CAF,763207.0,775701.0,788924.0,802962.0,817896.0,833756.0,850741.0,868711.0,886992.0,904654.0,921124.0,936138.0,950090.0,963943.0,979039.0,996351.0,1016004.0,1037798.0,1062036.0,1089003.0,1118757.0,1151829.0,1187858.0,1224978.0,1260638.0,1293158.0,1321542.0,1346654.0,1370782.0,1397225.0,1428300.0,1464778.0,1505739.0,1549767.0,1594725.0,1639000.0,1682162.0,1724577.0,1766346.0,1807760.0,1849036.0,1889814.0,1929771.0,1969161.0,2008404.0,2047614.0,2087511.0,2127608.0,2165481.0,2197820.0,2222603.0,2238747.0,2247854.0,2253846.0,2262217.0,2277003.0,2299585.0,2329108.0,2364672.0
Canada,CAN,8851741.0,9040305.0,9221831.0,9408033.0,9599279.0,9784951.0,9977130.0,10164729.0,10335090.0,10480782.0,10632184.0,10953780.0,11084705.0,11224486.0,11387157.0,11561585.0,11724240.0,11873874.0,12005407.0,12137264.0,12305971.0,12468312.0,12625854.0,12758392.0,12885573.0,13009277.0,13143762.0,13321757.0,13498770.0,13746547.0,13959428.0,14138981.0,14312982.0,14476720.0,14640628.0,14795559.0,14951624.0,15099802.0,15223255.0,15344647.0,15485458.0,15652123.0,15820944.0,15961933.0,16109120.0,16259262.0,16421251.0,16578167.0,16755547.0,16945607.0,17133853.0,17302506.0,17492635.0,17680035.0,17859635.0,17993045.0,18195987.0,18409784.0,18666878.0
