Country,ISO,Sec_cntry,Name,Purpose,Admin_unit,Near_city,River,Main_basin,Sub_basin,Status,PVOUT,PV_surface,PV_spcapacity,Dam_hgt,Res_capacity,Res_area,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Proj_type,Lifecycle,Storage_typ,Linked_prj,Proj_cost,Proj_status,Study_status,Proj_yr,Yr_recentstudy,Comission_due,Ann_firm_gen,Ann_tot_gen,Prox_irrig,Size_irrig_area,Owner,Autom_EMS/SCADA, PrivateOwnership_RE,Feed_in_tariff_Solar,Feed_in_tariff _ForeignExchg,Guaranteed_Offtake,Competitive_bidding,Winning_bid _offtake,OtherFiscal _incentives_RE,Prioritized_access_grid_RE,Priority_dispatch,Compensation_IPP_offtake,Compensations_lost_generation,Gov_guarantee_payments,Regulatory_Overview,Download,Long,Lat
India,IND,,Suggathan,Irrigation,Jharkhand,Paraiahat,Dibri,,,Unknown,,51.4,,21.12,21.44,5.14,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Surangi,Irrigation,Jharkhand,Ranchi,Surangi Nala,,,Unknown,,10.2,,32.88,7.62,1.02,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Suru,Irrigation,Jharkhand,Chailbasa,Suru,,,Unknown,,0.5,,35.07,18,0.05,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Tahaley,Irrigation,Jharkhand,Garhwa,Tahaley,,,Unknown,,,,,190,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Torai,Irrigation,Jharkhand,Sahebganj,Torai,,,Unknown,,44.5,,24.4,24.8,4.45,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Upper Shankh,Irrigation,Jharkhand,Gumla,Shankh,,,Unknown,,0.48,,36.58,27,0.048,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Jharjhara,Irrigation,Jharkhand,Chakradharpur,Brahamni,,,Unknown,,0.6,,30.5,22,0.06,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Baura,Irrigation,Orissa,Baripada,Baura,,,Unknown,,25.25,,38,261.31,2.525,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Haladia,Irrigation,Orissa,Baripada,Haladia,,,Unknown,,6.4,,23.1,58.1,0.64,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Jagadala,Irrigation,Orissa,Keonjhar,Jagadala Nala,,,Unknown,,7.99,,18,3.96,0.799,,,,,,,,,,,,,,,,,,,Government of Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Jambhira,Irrigation,Orissa,Baripada,Jambhira ,,,Unknown,,26,,30.4,223.65,2.6,,,,,,,,,,,,,,,,,,,Government of Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kalimati,Irrigation,Orissa,Anandpur,Kukurketa Nalla,,,Unknown,,12.08,,15.54,4.49,1.208,,,,,,,,,,,,,,,,,,,Government of Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Magara Nalla,Irrigation,Orissa,Padampur,Magaranalla,,,Unknown,,1.15,,19.78,,0.115,,,,,,,,,,,,,,,,,,,Government of Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Masina Nalla,Irrigation,Orissa,Sundargarh,Masinanalla,,,Unknown,,,,15.47,1.96,,,,,,,,,,,,,,,,,,,,Government of Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Sapua,Irrigation,Orissa,Keonjhar,Sapua Nalla,,,Unknown,,2.4,,18,1.28,0.24,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Durgawati,Irrigation,Bihar,Bhabhua,Durgawati,,,Unknown,,233.7,,46.3,28.77,23.37,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Barnar#,Irrigation,Bihar,Jamui,Barnar,,,Unknown,,37.5,,76.75,80.21,3.75,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kailash Ghati,Irrigation,Bihar,Jamui,Kailash Ghati,,,Operational since 1960,,12.35,,25.2,3.571,1.235,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Upper Kuil ,Irrigation,Bihar,Jamui,Kivi,,,Unknown,,123,,30,98.1,12.3,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Sindhwarni,Irrigation,Bihar,Munger,Mani,,,Unknown,1404,70,,21.34,58.6,7,,,,,,,,,,,,,,,,,,,Government of Bihar,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),86.5086,25.1328
India,IND,,Orni,Irrigation,Bihar,Banka,Dakra,Ganges,,Unknown,1426,50,,,51.6,5,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),86.8253,24.9619
India,IND,,Deokatta,Irrigation,Chattisgarh,D'Garh,Local,,,Unknown,,5.59,,18.42,,0.559,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Maharajpur,Irrigation,Chattisgarh,Baikn'Pur,Local,,,Unknown,,1.91,,16.5,0.308,0.191,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Saluli,Irrigation,Goa,Sanguem Town,Sanguem,,,Unknown,,296.4,,42.7,234.361,29.64,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Ozat,Irrigation,Gujarat,Junagadh,Ozat,,,Operational since 1961,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Baranda,Irrigation,Gujarat,Abdasa,Local Stream,,,Operational since 1961,,,,19,1.64,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Bhogavo (Naika),Irrigation,Gujarat,Sayala,Bhogawo,,,Operational since 1961,,,,15,18,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Dhobiyara,Irrigation,Gujarat,Babara,Local Stream,,,Operational since 1961,,,,,1.579,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Gajansar,Irrigation,Gujarat,Nakhatrana,Panora,,,Operational since 1961,,,,14,12.283,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kodoli,Irrigation,Gujarat,Abdasa,Local Stream,,,Operational since 1961,,,,17,3.506,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Mewasa,Irrigation,Gujarat,Rapar,Mewasha,,,Operational since 1961,,,,21,5.8,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Rakhadi,Irrigation,Gujarat,Abdasa,Local Stream,,,Operational since 1961,,,,16,2.07,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Rami,Irrigation,Gujarat,Chhotaudepur,Rami,,,Operational since 1961,,,,27,7.06,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Vankadiajanwa,Irrigation,Gujarat,Santrampur,Kotar,,,Operational since 1961,,,,21,2.75,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Zer,Irrigation,Gujarat,Chhotaudepur,Local Kotar,,,Operational since 1961,,,,19,3.3,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Zolapuri,Irrigation,Gujarat,Rajula,Zolapuri,,,Operational since 1961,,,,16,1.863,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Bankiyatank,Irrigation,Rajasthan,Chittorgarh,Local Nalla,,,Operational since 1961,,708.5,,14,9.44,70.85,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Attawara,Irrigation,Rajasthan,Bhilwara,Local Nalla,,,Operational since 1961,,708.5,,10.36,5.23,70.85,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Khadakozer,Irrigation,Maharashtra,Chandwad,Wadali,,,Operational since 1961,,19.24,,21.67,8.429,1.924,,,,,,,,,,,,,,,,,,,Government of Maharashtra,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Wanjarwadi,Irrigation,Maharashtra,Beed,Wanjarwadi,,,Operational since 1961,,0.42,,15.03,2.89,0.042,,,,,,,,,,,,,,,,,,,Government of Maharashtra,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Avalanche,Irrigation,Tamil Nadu,Uthagamanda,Avalanche St,,,Operational since 1961,1517,708.5,,57,156.2,70.85,,,,,,,,,,,,,,,,,,,Government of Tamil Nadu,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),76.6128,11.3203
India,IND,,Emrald,Irrigation,Tamil Nadu,Ootacamund,Emerald,,,Operational since 1961,1507,708.5,,65,155.2,70.85,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),76.6169,11.3328
India,IND,,Barodia,Irrigation,Madhya Pradesh,Raigarh,Local,,,Operational since 1961,,23.76,,16.76,16.78,2.376,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Tejgarh,Irrigation,Madhya Pradesh,N.A.,Local,,,Operational since 1961,,8.7,,31.69,6.79,0.87,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Buggavagu,Irrigation,Andhra Pradesh,Guntur,Buggavagu,,,Operational since 1961,1527,124.27,,31,,12.427,,,,,,,,,,,,,,,,,,,Government of Andhra Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),79.5369,16.4828
India,IND,,Bhairavanitippa,Irrigation,Andhra Pradesh,Nil,Hagari,,,Operational since 1961,,202.25,,20,74.311,20.225,,,,,,,,,,,,,,,,,,,Government of Andhra Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Jalaput,Irrigation,Andhra Pradesh,Visakhapattanam,Machkund,,,Operational since 1961,1545,911.3,,61,,91.13,,,,,,,,,,,,,,,,,,,Governments of Andhra Pradesh & Orissa,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kundah Palam,Irrigation,Tamil Nadu,Uthagamanda,Kundah,,,Operational since 1961,,708.5,,32,1.76,70.85,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Hasdeo Barrage,Irrigation,Chattisgarh,Korba,Hasdeo,,,Operational since 1961,,772.3,,10.67,99.064,77.23,,,,,,,,,,,,,,,,,,,Government of Chattisgarh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Amlwant,Irrigation,Gujarat,Chhotaudepur,Kotar,,,Operational since 1962,,,,29.9,4.916,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Baldeva,Irrigation,Gujarat,Valia,Tokharikhadi,,,Operational since 1962,,,,23,8.15,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Dhingalwada,Irrigation,Gujarat,Santrampur,Kotar,,,Operational since 1962,,,,22,3.301,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Domada,Irrigation,Gujarat,Paddhari,Domadi,,,Operational since 1962,,,,16,1.076,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Edalwada,Irrigation,Gujarat,Limkheda,Naleshwermala,,,Operational since 1962,,,,21,11.33,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Ghelo (Itaria),Irrigation,Gujarat,Babara,Ghelo,,,Operational since 1962,,,,21,13.354,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Guhedia,Irrigation,Gujarat,Balsinor,Vehla,,,Operational since 1962,,,,10,4.018,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Junachay,Irrigation,Gujarat,Lakhpat,Local Wangha,,,Operational since 1962,,,,20,0.329,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kotda,Irrigation,Gujarat,Jasdan,Local Stream,,,Operational since 1962,,,,15.5,1.388,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Koya,Irrigation,Gujarat,Balasinor,Lol,,,Operational since 1962,,,,23,2.224,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kundhaadhamena,Irrigation,Gujarat,Zalod,Local Vehla,,,Operational since 1962,,,,37,0.736,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Paswada,Irrigation,Gujarat,Bhesan,Tr. Of Machhu,,,Operational since 1962,,,,23.5,3.39,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Ratnal,Irrigation,Gujarat,Anjar,Sonarakh,,,Operational since 1962,,,,16,1.67,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Samarkuwa,Irrigation,Gujarat,Baria,Ratnal,,,Operational since 1962,,,,25,1.22,,,,,,,,,,,,,,,,,,,,Government of Gujarat,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Suliyat,Irrigation,Gujarat,Godhra,Kotar,,,Operational since 1962,,,,16,1.172,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,West Banas,Irrigation,Rajasthan,Pindwara,West Banas,,,Operational since 1962,,708.5,,20.9,39.08,70.85,,,,,,,,,,,,,,,,,,,Government of Rajasthan,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Badgaon,Irrigation,Rajasthan,Ballabhnagar,Berach,,,Operational since 1962,,708.5,,18.75,31.49,70.85,,,,,,,,,,,,,,,,,,,Government of Rajasthan,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Machhanala,Irrigation,Gujarat,Zalod,Kotar,,,Operational since 1962,1635,,,25,37.91,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),74.1719,23.0611
India,IND,,Surwania,Irrigation,Rajasthan,Banswara,Ghotiya,,,Operational since 1962,,708.5,,22.25,13.19,70.85,,,,,,,,,,,,,,,,,,,Government of Rajasthan,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Alnia,Irrigation,Rajasthan,Kota,Alnia,,,Operational since 1962,,708.5,,15,43.718,70.85,,,,,,,,,,,,,,,,,,,Government of Rajasthan,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Aliyar,Irrigation,Tamil Nadu,Pollichi,Aliyar,,,Operational since 1962,1480,708.5,,44.04,109.43,70.85,,,,,,,,,,,,,,,,,,,Government of Tamil Nadu,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),76.9661,10.4811
India,IND,,Hathaikheda,"Irrigation, Hydropower",Madhya Pradesh,Bhopal,Ajnal,,,Operational since 1962,1596,31.3,,17.37,16.277,3.13,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),77.5003,23.2711
India,IND,,Daroli,Irrigation,Madhya Pradesh,N.A.,Local,,,Operational since 1962,,1.7098,,22.8,5.16,0.17098,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Dhuandhar,Irrigation,Madhya Pradesh,Mandia,Local,,,Operational since 1962,,10.2,,27.19,5.46,1.02,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Gulad,Irrigation,Madhya Pradesh,N.A.,Local,,,Operational since 1962,,,,16,1.416,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Kharandi,Irrigation,Madhya Pradesh,Lanjhi,Bag,,,Operational since 1962,,37.1,,14.16,13.71,3.71,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
India,IND,,Nahatra,Irrigation,Madhya Pradesh,N.A.,Local,,,Operational since 1962,,9.31,,15.39,3.14,0.931,,,,,,,,,,,,,,,,,,,Government of Madhya Pradesh,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,RISE Information (http://rise.esmap.org/country/india),Full Database (https://energydata.info/dataset/hydropower-dams-2018),,
