Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,BLR,3706107.0,3747372.0,3791790.0,3837999.0,3884633.0,3930335.0,3975935.0,4022339.0,4068371.0,4112891.0,4154716.0,4194770.0,4233917.0,4270781.0,4303954.0,4332035.0,4357569.0,4386783.0,4420493.0,4452537.0,4484219.0,4519131.0,4553139.0,4587478.0,4622105.0,4656356.0,4692754.0,4729721.0,4748401.0,4766670.0,4778366.0,4781766.0,4791663.0,4801233.0,4794613.0,4779054.0,4764284.0,4746193.0,4725847.0,4707116.0,4684213.0,4657329.0,4623104.0,4585022.0,4547723.0,4511062.0,4478373.0,4453195.0,4433893.0,4421023.0,4411603.0,4402881.0,4399404.0,4401400.0,4406803.0,4414950.0,4421148.0,4419899.0,4413871.0
Belize,BLZ,45461.0,46797.0,48158.0,49568.0,51028.0,52570.0,54199.0,55884.0,57581.0,59200.0,60683.0,62004.0,63210.0,64317.0,65385.0,66463.0,67558.0,68663.0,69853.0,71186.0,72730.0,74486.0,76454.0,78579.0,80803.0,83076.0,85417.0,87832.0,90237.0,92505.0,94571.0,96361.0,97953.0,99581.0,101600.0,104242.0,107606.0,111586.0,115948.0,120344.0,124519.0,128389.0,132033.0,135527.0,139020.0,142592.0,146255.0,149982.0,153748.0,157526.0,161297.0,165052.0,168812.0,172555.0,176263.0,179927.0,183535.0,187088.0,190607.0
Bolivia,BOL,1811560.0,1848161.0,1885823.0,1924619.0,1964628.0,2005944.0,2048550.0,2092440.0,2137688.0,2184407.0,2232656.0,2282407.0,2333639.0,2386321.0,2440428.0,2495926.0,2552883.0,2611218.0,2670510.0,2730212.0,2789947.0,2849520.0,2909138.0,2969359.0,3030990.0,3094605.0,3160362.0,3228104.0,3297688.0,3368842.0,3441351.0,3515183.0,3590332.0,3666627.0,3743883.0,3821918.0,3900632.0,3979956.0,4059821.0,4140170.0,4220947.0,4302100.0,4383547.0,4465170.0,4546858.0,4628522.0,4710066.0,4791470.0,4872819.0,4954238.0,5035794.0,5117521.0,5199333.0,5281055.0,5362440.0,5443337.0,5523650.0,5603409.0,5682764.0
Brazil,BRA,35937972.0,37009804.0,38116210.0,39249025.0,40396922.0,41551286.0,42710496.0,43875721.0,45044745.0,46215725.0,47388167.0,48559921.0,49733032.0,50916539.0,52122734.0,53360547.0,54630873.0,55931034.0,57261677.0,58622608.0,60011979.0,61430994.0,62875043.0,64329042.0,65773206.0,67192825.0,68582110.0,69942932.0,71277934.0,72592970.0,73892749.0,75175016.0,76438368.0,77689710.0,78938172.0,80189525.0,81446234.0,82704024.0,83953479.0,85181367.0,86377512.0,87539758.0,88669143.0,89762833.0,90818421.0,91834839.0,92810119.0,93745925.0,94649584.0,95531256.0,96398664.0,97253380.0,98094406.0,98923563.0,99742267.0,100550820.0,101350717.0,102140226.0,102912170.0
Barbados,BRB,103480.0,104028.0,104937.0,106068.0,107225.0,108264.0,109137.0,109892.0,110606.0,111374.0,112273.0,113335.0,114519.0,115713.0,116796.0,117679.0,118322.0,118767.0,119086.0,119382.0,119744.0,120178.0,120685.0,121235.0,121821.0,122423.0,123050.0,123704.0,124359.0,124997.0,125590.0,126118.0,126601.0,127055.0,127504.0,127971.0,128454.0,128959.0,129474.0,129968.0,130439.0,130888.0,131305.0,131717.0,132155.0,132642.0,133186.0,133768.0,134358.0,134905.0,135377.0,135761.0,136062.0,136312.0,136516.0,136708.0,136882.0,137040.0,137177.0
Brunei Darussalam,BRN,42160.0,44145.0,46160.0,48251.0,50453.0,52811.0,55339.0,58022.0,60850.0,63773.0,66798.0,69871.0,73012.0,76264.0,79693.0,83320.0,87202.0,91274.0,95398.0,99384.0,103085.0,106447.0,109533.0,112457.0,115418.0,118549.0,121861.0,125335.0,128936.0,132650.0,136433.0,140330.0,144308.0,148244.0,151957.0,155327.0,158279.0,160867.0,163300.0,165850.0,168713.0,171973.0,175545.0,179280.0,182945.0,186376.0,189541.0,192481.0,195258.0,197954.0,200656.0,203356.0,206035.0,208679.0,211253.0,213741.0,216148.0,218459.0,220698.0
Bhutan,BTN,113813.0,116600.0,119454.0,122440.0,125638.0,129119.0,132890.0,136945.0,141284.0,145899.0,150784.0,155916.0,161290.0,166892.0,172717.0,178749.0,184984.0,191404.0,197878.0,204243.0,210398.0,216184.0,221634.0,227027.0,232802.0,239188.0,246465.0,254390.0,262126.0,268499.0,272756.0,274519.0,274228.0,272976.0,272292.0,273316.0,276359.0,281097.0,287250.0,294259.0,301700.0,309561.0,317863.0,326158.0,333912.0,340738.0,346457.0,351164.0,355209.0,359127.0,363281.0,367778.0,372492.0,377344.0,382155.0,386817.0,391319.0,395701.0,399973.0
Botswana,BWA,239671.0,243899.0,248812.0,254248.0,259944.0,265732.0,271570.0,277622.0,284130.0,291447.0,299836.0,309361.0,319971.0,331636.0,344299.0,357885.0,372449.0,387959.0,404149.0,420672.0,437284.0,453765.0,470203.0,487015.0,504829.0,524030.0,544812.0,566865.0,589492.0,611752.0,632933.0,652754.0,671405.0,689199.0,706634.0,724088.0,741688.0,759301.0,776741.0,793732.0,810100.0,825674.0,840624.0,855519.0,871148.0,888007.0,906543.0,926471.0,946702.0,965703.0,982464.0,996434.0,1008215.0,1019357.0,1032089.0,1047919.0,1067421.0,1089991.0,1114534.0
Central African Republic,CAF,738461.0,750365.0,762986.0,776408.0,790720.0,805950.0,822278.0,839591.0,857202.0,874207.0,890020.0,904380.0,917692.0,930910.0,945349.0,962016.0,981010.0,1002121.0,1025627.0,1051774.0,1080599.0,1112613.0,1147475.0,1183339.0,1217744.0,1249011.0,1276219.0,1300186.0,1323191.0,1348509.0,1378434.0,1413731.0,1453497.0,1496382.0,1540290.0,1583656.0,1626071.0,1667859.0,1709146.0,1750254.0,1791391.0,1832204.0,1872357.0,1912020.0,1951471.0,1990768.0,2030558.0,2070402.0,2107885.0,2139805.0,2164165.0,2179889.0,2188561.0,2194096.0,2201958.0,2216167.0,2238102.0,2266920.0,2301705.0
Canada,CAN,9057268.0,9230695.0,9392169.0,9555967.0,9725721.0,9893049.0,10070870.0,10247271.0,10408910.0,10547218.0,10691816.0,11008252.0,11133758.0,11267291.0,11420812.0,11581690.0,11725568.0,11851969.0,11957796.0,12064280.0,12209696.0,12351603.0,12491088.0,12608059.0,12721480.0,12832839.0,12956516.0,13124844.0,13292977.0,13530234.0,13731710.0,13898439.0,14058282.0,14208044.0,14360035.0,14506752.0,14658594.0,14806146.0,14931918.0,15056639.0,15200272.0,15368779.0,15539135.0,15682095.0,15831535.0,15984491.0,16149923.0,16310858.0,16491571.0,16683288.0,16871036.0,17036822.0,17221587.0,17402919.0,17577800.0,17709863.0,17913500.0,18130484.0,18391978.0
